,FECHA_DOC,CANT,MARGEN_UNITARIO_CALCULADO
207,2022-02-23,2,773.8
208,2022-02-23,2,788.34
209,2022-02-23,2,759.63
210,2022-02-23,2,790.79
211,2022-02-23,2,920.37
212,2022-02-23,2,814.8
213,2022-02-23,7,694.93
214,2022-02-23,2,332.63
215,2022-02-23,2,1486.69
216,2022-02-23,2,593.58
217,2022-02-23,2,577.12
218,2022-02-23,2,577.12
219,2022-02-23,1,585.82
220,2022-02-24,3,2772.88
221,2022-02-24,6,2735.93
222,2022-02-24,10,253.01
223,2022-02-24,2,1013.56
224,2022-02-24,1,576.24
225,2022-02-25,1,435.78
226,2022-02-25,1,435.78
227,2022-02-25,1,435.78
228,2022-02-25,1,435.78
229,2022-02-25,1,435.78
230,2022-02-25,2,259.72
231,2022-02-25,2,284.86
232,2022-02-25,2,196.9
233,2022-02-25,2,231.77
234,2022-02-25,5,235.95
235,2022-02-25,4,556.63
236,2022-02-25,10,279.38
237,2022-02-25,8,367.71
238,2022-02-25,7,429.31
239,2022-02-25,8,347.9
240,2022-02-25,3,1233.29
241,2022-02-25,4,555.2
242,2022-02-28,4,473.37
243,2022-02-28,1,-6217.41
244,2022-02-28,2,1044.3
245,2022-02-28,30,1135.87
246,2022-02-28,4,595.91
247,2022-02-28,2,474.98
248,2022-02-28,2,429.22
249,2022-02-28,1,2038.61
250,2022-02-28,2,654.66
251,2022-02-28,1,705.22
252,2022-02-28,3,620.61
253,2022-02-28,1,1016.81
254,2022-02-28,3,818.81
255,2022-02-28,3,310.47
256,2022-02-28,1,1289.89
257,2022-02-28,1,911.15
258,2022-02-28,1,1079.85
259,2022-02-28,1,983.02
260,2022-02-28,2,870.35
261,2022-02-28,3,161.87
262,2022-02-28,3,780.04
263,2022-02-28,2,932.41
264,2022-02-28,4,581.39
265,2022-02-28,4,435.06
266,2022-03-01,1,1836.19
267,2022-03-02,4,793.32
268,2022-03-02,4,884.14
269,2022-03-02,2,1411.2
270,2022-03-03,6,2971.88
271,2022-03-03,6,2756.19
272,2022-03-03,1,242.0
273,2022-03-03,1,4273.74
274,2022-03-03,3,818.81
275,2022-03-03,2,440.76
276,2022-03-03,1,301.0
277,2022-03-03,1,245.28
278,2022-03-04,1,425.1
